comuna	sexo	p50	p25	p75	p100	n
Cabo de Hornos	Hombre	70	52	81	93	11
San Fabián	Mujer	81	72	88	107	121
Lago Verde	Mujer	83	74	87	104	17
Rancagua	Indeterminado	0	0	0	0	4
Maule	Indeterminado	0	0	0	0	1
Curanilahue	Indeterminado	0	0	0	0	1
Chillán	Indeterminado	0	0	0	0	1
Osorno	Indeterminado	0	0	0	0	3
Padre Las Casas	Indeterminado	0	0	0	0	2
Peñalolén	Indeterminado	0	0	0	0	3
Victoria	Indeterminado	0	0	0	0	1
Temuco	Indeterminado	0	0	0	0	6
Vilcún	Indeterminado	0	0	0	0	3
Llaillay	Indeterminado	0	0	0	0	1
Río Bueno	Indeterminado	0	0	0	0	1
Quinta Normal	Indeterminado	0	0	0	0	2
Antártica	Mujer	90	90	90	90	1
Puente Alto	Indeterminado	0	0	0	0	4
Peñaflor	Indeterminado	0	0	0	0	1
Ollagüe	Hombre	68	68	68	68	1
Independencia	Indeterminado	0	0	0	0	2
San Ignacio	Indeterminado	0	0	0	0	1
La Pintana	Indeterminado	0	0	0	0	2
Castro	Indeterminado	0	0	0	0	1
Iquique	Indeterminado	0	0	0	0	2
Colina	Indeterminado	0	0	0	0	3
La Granja	Indeterminado	0	0	0	0	4
Las Condes	Indeterminado	0	0	0	0	1
Palena	Mujer	80	65	89	102	37
Laguna Blanca	Hombre	66.5	57.5	69.75	72	4
Nueva Imperial	Indeterminado	0	0	0	0	2
Cerro Navia	Indeterminado	0	0	0	0	3
Concepción	Indeterminado	0	0	0	0	4
Conchalí	Indeterminado	0	0	0	0	1
Renca	Indeterminado	0	0	0	0	4
Cabo de Hornos	Mujer	77	68	89.75	93	6
Calera de Tango	Indeterminado	0	0	0	0	1
Galvarino	Indeterminado	0	0	0	0	1
San Fernando	Indeterminado	0	0	0	0	1
Ñiquén	Indeterminado	0	0	0	0	1
Loncoche	Indeterminado	0	0	0	0	1
Puchuncaví	Indeterminado	0	0	0	0	1
Cabildo	Indeterminado	0	0	0	0	1
Recoleta	Indeterminado	0	0	0	0	1
General Lagos	Hombre	45	26.5	91	93	7
Cerrillos	Indeterminado	0	0	0	0	1
Melipilla	Indeterminado	0	0	0	0	1
Huechuraba	Indeterminado	0	0	0	0	1
Padre Hurtado	Indeterminado	0	0	0	0	1
Lampa	Indeterminado	0	0	0	0	1
Lo Barnechea	Indeterminado	0	0	0	0	1
Primavera	Mujer	80	70	90	100	2
San Gregorio	Hombre	85	83.5	86.5	88	2
San Pedro de la Paz	Indeterminado	0	0	0	0	2
Valparaíso	Indeterminado	0	0	0	0	2
Teno	Indeterminado	0	0	0	0	1
Malloa	Indeterminado	0	0	0	0	1
Alto Hospicio	Indeterminado	0	0	0	0	1
Longaví	Indeterminado	0	0	0	0	2
Coronel	Indeterminado	0	0	0	0	1
Puerto Montt	Indeterminado	0	0	0	0	2
San Juan de la Costa	Indeterminado	0	0	0	0	1
Bulnes	Indeterminado	0	0	0	0	1
Lautaro	Indeterminado	0	0	0	0	1
La Florida	Indeterminado	0	0	0	0	1
Curicó	Indeterminado	0	0	0	0	1
Valdivia	Indeterminado	0	0	0	0	2
Vicuña	Indeterminado	0	0	0	0	2
San Miguel	Indeterminado	0	0	0	0	1
Ovalle	Indeterminado	0	0	0	0	1
Panguipulli	Indeterminado	0	0	0	0	1
Pitrufquén	Indeterminado	0	0	0	0	1
San Rafael	Indeterminado	0	0	0	0	1
Petorca	Indeterminado	0	0	0	0	1
Coquimbo	Indeterminado	0	0	0	0	1
Río Claro	Indeterminado	0	0	0	0	1
Torres del Paine	Mujer	48	26	70	92	2
San Felipe	Indeterminado	0	0	0	0	1
San Pedro de Atacama	Indeterminado	0	0	0	0	1
Valparaíso	Mujer	81	69	88	109	11533
Romeral	Hombre	73	60	82	98	576
Futrono	Hombre	71	56	82	100	620
Las Condes	Mujer	87	77	93	112	10701
Estación Central	Hombre	72	58	82	104	4946
San Carlos	Mujer	80	69	88	109	2131
El Quisco	Mujer	80	67.5	88.5	108	519
Yumbel	Mujer	80	69	88	107	859
Lago Ranco	Mujer	79	68	88	108	385
Los Vilos	Mujer	79	66	88	104	595
Cauquenes	Hombre	76	62	85	104	2120
Ovalle	Mujer	80	67	88	108	3408
Molina	Hombre	72	60	82	101	1905
Chanco	Hombre	76	63	85	101	413
Teodoro Schmidt	Hombre	72	56	83	100	826
Quillota	Mujer	82	70	89	108	3494
Malloa	Mujer	78.5	67.75	87.25	102	464
Quillón	Mujer	80	68	88	104	646
Fresia	Mujer	79	68	88	104	514
Pozo Almonte	Mujer	74	58.5	84	103	230
Tortel	Hombre	59	51	78.5	96	19
Río Bueno	Mujer	79	68	87	108	1268
Río Ibáñez	Mujer	78	65.75	89	97	72
Marchihue	Hombre	75	65	85	102	328
Camiña	Hombre	76	64	85	101	33
Bulnes	Mujer	79	67.5	88	107	779
Villa Alegre	Mujer	81	71	89	105	526
Sagrada Familia	Mujer	77	66	85.75	100	546
Petorca	Mujer	82	70	89	106	346
Yungay	Mujer	80	69	88	105	654
Olmué	Mujer	81	70	89	105	631
San Pablo	Mujer	81	71.25	88	104	382
Guaitecas	Hombre	61	47	78	97	49
Alhué	Mujer	79	65	89.25	106	156
Guaitecas	Mujer	69	60	86	98	23
Camarones	Mujer	86	74	90	99	9
Ancud	Indeterminado	0	0	0	0	2
El Carmen	Indeterminado	0	0	0	0	1
Pudahuel	Indeterminado	0	0	0	0	2
Dalcahue	Indeterminado	0	0	0	0	1
Arica	Indeterminado	0	0	0	0	3
Santiago	Indeterminado	0	0	0	0	3
Molina	Indeterminado	0	0	0	0	2
Maipú	Indeterminado	0	0	0	0	5
Paine	Indeterminado	0	0	0	0	1
Villarrica	Indeterminado	0	0	0	0	1
Villa Alemana	Indeterminado	0	0	0	0	1
Lebu	Indeterminado	0	0	0	0	2
La Cisterna	Indeterminado	0	0	0	0	1
Linares	Indeterminado	0	0	0	0	3
Talagante	Indeterminado	0	0	0	0	2
Quilicura	Indeterminado	0	0	0	0	2
Rengo	Indeterminado	0	0	0	0	1
El Bosque	Indeterminado	0	0	0	0	1
La Serena	Indeterminado	0	0	0	0	1
Isla de Maipo	Indeterminado	0	0	0	0	1
Florida	Mujer	79	68	88	105	386
Lota	Mujer	77	67	85	107	1718
Vitacura	Hombre	82	72	89	104	2596
Penco	Mujer	79	68	88	106	1481
Melipeuco	Mujer	81	69	89	103	241
San Gregorio	Mujer	63	54.5	74.5	86	3
General Lagos	Mujer	65.5	41.5	80	92	4
Juan Fernández	Mujer	79	70	82.75	97	16
San Bernardo	Indeterminado	0	0	0	0	5
Antofagasta	Indeterminado	0	0	0	0	5
Calama	Indeterminado	0	0	0	0	2
San José de Maipo	Mujer	80.5	68	89	106	544
Quillón	Hombre	74	62	83	100	797
Río Verde	Hombre	64	64	64	64	1
Ninhue	Hombre	74	62	83	101	274
San Nicolás	Mujer	78	66	87	101	359
Chile	Mujer	80	68	88	123	545421
Chile	Hombre	73	60	82	126	609190
Chile	Indeterminado	0	0	0	0	163
