comuna	sexo	p50	p25	p75	p100	n
Nogales	Hombre	75	63.75	83	100	856
Perquenco	Mujer	79	68.75	86	101	224
Traiguén	Hombre	76	64	84	108	1057
Copiapó	Mujer	78	65.5	87	107	3755
Calama	Mujer	74	60	85	108	3416
Pudahuel	Mujer	77	64	86	107	5531
San Javier	Mujer	80	67.75	88	105	1572
Olivar	Hombre	72	61	83	104	399
San Bernardo	Mujer	77	65	87	107	8331
San Ramón	Mujer	79	69	86	106	3393
Talca	Hombre	73	61	82	103	7719
Valparaíso	Hombre	73	60	82	107	12208
Cauquenes	Mujer	82	71	90	108	1799
Osorno	Hombre	72	59	82	118	6528
Río Bueno	Hombre	73	60	82	105	1663
Vicuña	Hombre	76	63	85	104	947
Puente Alto	Mujer	77	64	86	114	13597
Quilicura	Mujer	74	60	84	111	3587
Coihaique	Hombre	71	57	81	106	1751
Pudahuel	Hombre	69	56	79	107	6267
Curicó	Hombre	72	59	82	103	5186
Cerro Navia	Hombre	70	57	80	103	5685
Conchalí	Mujer	81	69	88	112	5059
Putre	Hombre	70	48.25	85	98	28
Pencahue	Hombre	77	67	85	102	353
La Ligua	Hombre	75	61	84	103	1380
Lo Prado	Hombre	73	60	81	104	3737
Calbuco	Hombre	73	57	84	105	1413
Longaví	Hombre	73	60	82	103	1325
San Fernando	Mujer	80	67	88	105	2425
Independencia	Hombre	71	55	81	104	4613
El Bosque	Mujer	78	67	87	109	5392
Los Andes	Mujer	81	69	89	111	2212
Linares	Mujer	80	69	87	110	3276
Hualqui	Hombre	69	59	80	101	838
Puerto Varas	Hombre	72	58	82	102	1249
Huechuraba	Hombre	71	56	80	104	2885
Curacautín	Hombre	75.5	64	84	103	786
Teno	Hombre	74	62	83	101	1152
Quemchi	Mujer	83	70	90	102	283
San Antonio	Mujer	79	67	87	107	3680
Quilpué	Hombre	76	65	84	107	6110
Valdivia	Hombre	72	59	82	106	5779
Loncoche	Hombre	75	63	83	105	1079
Cabildo	Mujer	80	68	88	107	595
Galvarino	Mujer	77	66	87	109	464
Los Andes	Hombre	75	63	84	105	2382
Lampa	Hombre	69	55	80	126	2680
Temuco	Mujer	81	69	89	116	8764
Llanquihue	Mujer	78	67	86	103	560
La Serena	Hombre	73	59	83	106	7115
Melipilla	Hombre	73	60	83	104	4944
La Reina	Hombre	79	67	87	104	3075
Panguipulli	Hombre	72	57	83	102	1699
Ignorada	Hombre	51	30.5	62	86	71
Calera	Hombre	74	62	83	101	2055
Santa Cruz	Hombre	74	60	84	102	1501
Teno	Mujer	79	68	87	101	828
Recoleta	Hombre	72	58	81	105	6247
Victoria	Hombre	73	61	83	107	1531
Mariquina	Hombre	74	59	83	121	912
Coquimbo	Mujer	79	67	88	108	6351
Tucapel	Hombre	76	63.25	84	100	658
Tomé	Hombre	75	64	84	103	2209
El Monte	Hombre	72	58	82	100	1096
Cochamó	Hombre	74.5	61.5	85	97	206
Concepción	Hombre	73	61	83	110	7678
Quilpué	Mujer	83	72	90	107	6529
Pedro Aguirre Cerda	Mujer	82	69	89	107	4431
Villarrica	Hombre	74	60	83	103	2111
Cartagena	Mujer	78	68	88	108	825
Quintero	Hombre	74	61.25	82	102	1222
Curicó	Mujer	79	66	87	112	4453
San José de Maipo	Hombre	75	61	84	100	646
Paine	Hombre	73	59	82	103	2077
Talcahuano	Mujer	80	68	88	107	5388
Villa Alemana	Mujer	83	72	90	106	4642
Lo Barnechea	Mujer	84	72	91	111	1912
